Zeit; Event; Ursache; Info
2018-10-02 16:40:01;Start;;
2018-10-02 16:42:32;Heruntergefahren;;
2018-10-02 16:43:52;Start;;
2018-10-02 16:52:42;In Standbymodus versetzt;Application API;
2018-10-02 17:16:36;Aus Standbymodus aufgeweckt;;
2018-10-02 17:19:42;In Standbymodus versetzt;Application API;
2018-10-02 21:54:05;Aus Standbymodus aufgeweckt;;
2018-10-02 21:55:35;In Standbymodus versetzt;Application API;
2018-10-03 06:40:34;Aus Standbymodus aufgeweckt;;
2018-10-03 06:44:00;Heruntergefahren;;
2018-10-03 06:44:13;Start;;
2018-10-03 07:02:47;In Standbymodus versetzt;Application API;
2018-10-03 09:38:14;Aus Standbymodus aufgeweckt;;
2018-10-03 10:03:17;In Standbymodus versetzt;Application API;
2018-10-03 10:32:40;Aus Standbymodus aufgeweckt;;
2018-10-03 11:02:38;In Standbymodus versetzt;Application API;
2018-10-03 11:41:11;Aus Standbymodus aufgeweckt;;
2018-10-03 12:03:22;In Standbymodus versetzt;Application API;
2018-10-03 12:20:26;Aus Standbymodus aufgeweckt;;
2018-10-03 12:32:26;In Standbymodus versetzt;Application API;
2018-10-03 12:48:49;Aus Standbymodus aufgeweckt;;
2018-10-03 12:50:25;In Standbymodus versetzt;Application API;
2018-10-03 12:53:40;Aus Standbymodus aufgeweckt;;
2018-10-03 13:06:40;In Standbymodus versetzt;Application API;
2018-10-03 13:08:27;Aus Standbymodus aufgeweckt;;
2018-10-03 13:11:01;In Standbymodus versetzt;Application API;
2018-10-03 14:43:35;Aus Standbymodus aufgeweckt;;
2018-10-03 15:17:27;In Standbymodus versetzt;System idle;
2018-10-03 15:21:07;Aus Standbymodus aufgeweckt;;
2018-10-03 15:29:17;In Standbymodus versetzt;Application API;
2018-10-03 15:51:44;Aus Standbymodus aufgeweckt;;
2018-10-03 16:00:54;In Standbymodus versetzt;Application API;
2018-10-03 16:11:32;Aus Standbymodus aufgeweckt;;
2018-10-03 16:51:20;In Standbymodus versetzt;Application API;
2018-10-03 17:24:48;Aus Standbymodus aufgeweckt;;
2018-10-03 17:45:04;In Standbymodus versetzt;Application API;
2018-10-03 18:14:59;Aus Standbymodus aufgeweckt;;
2018-10-03 18:18:22;In Standbymodus versetzt;Application API;
2018-10-03 18:29:34;Aus Standbymodus aufgeweckt;;
2018-10-03 18:31:15;In Standbymodus versetzt;Application API;
2018-10-03 18:40:53;Aus Standbymodus aufgeweckt;;
2018-10-03 18:41:15;In Standbymodus versetzt;Application API;
2018-10-03 21:16:04;Aus Standbymodus aufgeweckt;;
2018-10-03 21:18:26;In Standbymodus versetzt;System idle;
2018-10-03 21:29:15;Aus Standbymodus aufgeweckt;;
2018-10-03 21:39:39;In Standbymodus versetzt;Application API;
2018-10-04 06:34:42;Aus Standbymodus aufgeweckt;;
2018-10-04 06:51:47;In Standbymodus versetzt;Application API;
2018-10-04 06:56:00;Aus Standbymodus aufgeweckt;;
2018-10-04 07:07:56;In Standbymodus versetzt;Application API;
